"region","dealer_code","dealer_name","channel_name","case_id","description","created_on","created_by","updated_on","updated_by","reason_code","case_owner","status","case_sub_type_id","case_closure_date","escalation_level"
"SOUTH 2","15985 - GNF","KALYANI MOTORS PVT LTD","Arena","B1965735371","The customer went to get their vehicle serviced. The customer says that they haven't even received a token/job card number yet because they were not attended to. The customer had not made any service booking; they went to the workshop without a prior appointment. However, the workshop did not attend to them  KALYANI MOTORS PVT LTD  120/1, NEAR ALL INDIA INSTITUTE OF SPEEC, SPEECH AND HEARING CIRCLE, CHAMRAJA MOHALLA, BOGADI 2ND STAGE. PIN: 570008","2026-06-22 16:51:54.841051","1153949@maruticrm.onmicrosoft.com","2026-06-22 16:51:54.841051","1153949@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 2","11725 - TPN","RELIABLE INDUSTRIES","Arena","B3990446896","The customer's concern was regarding their car malfunctioning; the vehicle was repeatedly stalling, restarting, and then stalling again after some time. Everything was explained to them regarding this issue, and they were informed that they would need to speak with the workshop once, for which the number has been provided. They also wanted to know about on-road service, so their call was transferred regarding that.","2026-06-22 16:47:04.100133","81122552@maruticrm.onmicrosoft.com","2026-06-22 16:47:04.100133","81122552@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 1","12358 - DEI","PREM MOTORS PVT. LTD.","Arena","B2652664879","The customer has an Ertiga car, and a job card has been updated here under the name of PREM MOTORS PVT. LTD. The customer did not even visit the workshop, so they are very worried. Therefore, the customer care manager's contact number was given to the customer so that their problem can be resolved and the job card entry that was made can be removed.","2026-06-22 16:37:36.659287","1154197@maruticrm.onmicrosoft.com","2026-06-22 16:37:36.659287","1154197@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 1","10198 - ANN","POPULAR VEHICLES & SERVICES LTD.","Arena","B0385806154","Customer Concern VOC-- Customer says Dear Mr. Kingsly Jose the enclosed 5 documents had made me to again see the Tamil movie Karagattakaran again. DISCREPANCIES:
1. MSIL invoice for car was Rs. 1105134 whereas popular's amount was Rs. 1149890
2. Popular's 4th June statement of account shows total all inclusive cost Rs. 1206872 whereas 29th May quotation was Rs. 1108352
3. The wrong IDV of Rs. 1092405 by insurer whereas it should have been Rs. 1149900
4. The convenience fee of Rs. 1000 details of which is still not been answered. TOTALLY I AM DISSATISFIED WITH THE STATEMENT OF ACCOUNT. With regard to improper PDI the sticker base next to the fuel tank cap was not properly washed and removed.
Moreover my misfortune bad experience of having travelled 120 kms in the cng smelt car on 5th and 6th is still yet to be probed and the investigation report has not been furnished to me by the MSIL team.============================================Synopsis of VOC-- The customer, writing to Mr. Kingsly Jose, expresses total dissatisfaction with the statement of account for their new vehicle, humorously comparing the confusing financial discrepancies to a classic comedic plot in a Tamil movie. Specifically, the customer highlights a misalignment between the Maruti Suzuki India Limited (MSIL) invoice of ₹11,05,134 and Popular's ledger of ₹11,49,890, alongside a statement of account totaling ₹12,06,872 that contradicts an earlier quotation of ₹11,08,352. Additional financial grievances include an undervalued Insured Declared Value (IDV) set by the insurer at ₹10,92,405 instead of ₹11,49,900, and an unexplained ₹1,000 convenience fee. On the technical side, the customer notes an improper Pre-Delivery Inspection (PDI) evidenced by unwashed sticker residue near the fuel tank, and strongly demands an investigation report regarding a distressing experience where they had to travel 120 kilometers in a car filled with a strong CNG smell. Kindly look into this matter as earlier.","2026-06-22 16:32:27.365778","81111275@maruticrm.onmicrosoft.com","2026-06-22 16:32:27.365778","81111275@maruticrm.onmicrosoft.com","New","Query - Sales","Active","2",NULL,NULL
"NORTH 1","10213 - DRN","ROHAN MOTORS LTD","Arena","B7594815338","Customer wants to do there car service. hence share the dealer details (CCM) number","2026-06-22 16:28:39.515433","81119542@maruticrm.onmicrosoft.com","2026-06-22 16:28:39.515433","81119542@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 3","10952 - JHA","BHATIA & COMPANY (A UNIT OF BHATIA CORPORATION PVT. LTD.)","Arena","B8670669954","Customer recently got the vehicle service done and after the service the vehicle is not giving proper average and mileage so the query has been registered and forwarded to the workshop team who will revert and coordinate with the customer as soon as possible to resolve this issue, Additionally i have shared CCM number for direct coordination.","2026-06-22 16:21:28.967728","81114048@maruticrm.onmicrosoft.com","2026-06-22 16:21:28.967728","81114048@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 2","12880 - BEK","SURAKSHAA CAR CARE PVT. LTD.","Nexa","B2156400158","Customer Concern VOC-- Customer says I am writing to formally escalate a serious service failure regarding my Maruti Suzuki Grand Vitara, and to request immediate resolution before I am compelled to pursue this matter further, including through consumer court if necessary.

While my vehicle's warranty was still active, I brought it to one of your authorized service centers in Bangalore to report a clear and specific wobbling issue. I explained the problem in detail and left my car with them for 3 days for diagnosis and repair. Despite the warranty being valid at the time, the service center failed to correctly diagnose the issue and returned the vehicle to me with the same unresolved problem.

I subsequently took the car to a different authorized service center, where the issue was correctly diagnosed and resolved by replacing the drive shaft. However, I am now being told that this part cannot be covered under warranty, as the warranty has since expired.

I want to be unambiguous about this: the delay and resulting warranty lapse are a direct consequence of your first service center's failure to do its job, not any fault or negligence on my part. I raised this issue in good faith, within the warranty period, and trusted your authorized service network to resolve it competently. The fact that the issue went undiagnosed — despite the car being with your team for three full days — is entirely an internal failure on Maruti Suzuki's and the service center's part. It is neither reasonable nor acceptable that I, as the customer, should now bear the cost of a defect that was reported in time but mishandled by your own service center.

This is a clear case of deficiency in service, and I expect Maruti Suzuki to take ownership of it rather than pass the cost onto the customer for an issue that was never my failure to begin with.

Additionally, my car has now been sitting at the service center for almost a week, causing significant inconvenience and disruption to my daily life. This delay is unacceptable and adds to the overall poor experience I have had through this entire episode.

I am requesting the following:

Immediate coverage of the drive shaft replacement cost under warranty, given that the issue was reported and documented while the warranty was active.
Prompt resolution and return of my vehicle, without further delay.
A written response from your team confirming the steps being taken to address this.
I trust Maruti Suzuki and NEXA value their customers and their reputation enough to resolve this fairly and quickly. However, if this is not addressed satisfactorily within a reasonable timeframe, I will have no choice but to escalate this matter to the consumer disputes redressal forum and explore all available legal remedies, including filing a formal complaint regarding deficiency in service and unfair trade practice.

I look forward to your urgent attention and a satisfactory resolution at the earliest.=======================================Synopsis of VOC-- The customer is formally escalating a serious service failure regarding their Maruti Suzuki Grand Vitara after an authorized service centre in Bangalore failed to diagnose a reported wobbling issue, despite holding the vehicle for three days while the warranty was active. After a second authorized service centre successfully diagnosed the issue as a faulty drive shaft, the customer was denied warranty coverage on the grounds that the warranty had since expired. Rejecting this decision, the customer asserts that the warranty lapse is a direct result of the first service centre's deficiency in service and notes that the vehicle has now been delayed at the garage for nearly a week, causing significant daily disruption. Consequently, the customer demands immediate warranty coverage for the drive shaft replacement, the prompt return of the vehicle, and a written confirmation of corrective actions, warning that they will escalate the matter to the consumer court if a satisfactory resolution is not provided quickly. Kindly look into this matter as earlier.","2026-06-22 16:16:34.640047","81111275@maruticrm.onmicrosoft.com","2026-06-22 16:16:34.640047","81111275@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"CENTRAL 3","10724 - BAR","BHATIA & COMPANY (A UNIT OF BHATIA CORPORATION PVT. LTD.)","Arena","B3985702903","The customer called because their car met with an accident and they have left it at the workshop for accidental repairs. They are facing a delay in delivery because some required spare parts are currently unavailable at the center. They want the workshop team to arrange these parts quickly so that the repair work can be completed and their vehicle can be delivered without further delay. so CCM no shared to the customer for the further assistance ","2026-06-22 16:13:51.972752","81114047@maruticrm.onmicrosoft.com","2026-06-22 16:13:51.972752","81114047@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 2","13309 - BUB","NARAYANI MOTORS PVT. LTD.","Nexa","B6849334533","""The customer booked a car on May 20th. Initially, they were given a delivery date of June 1st, but it was later revised in writing to June 15th. The customer states that they have already reached out to everyone, including the customer care manager and the general manager, but they have still not received their vehicle. I have informed the team regarding their call."" NARAYANI MOTORS PVT. LTD. 116-B,SURYA NAGAR, ADJACENT to GOVERNOR HOUSE, BHUBANESHWAR. PIN: 751001
 ","2026-06-22 16:13:01.641648","1154261@maruticrm.onmicrosoft.com","2026-06-22 16:13:01.641648","1154261@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"SOUTH 1","17315 - NEK","KHIVRAJ MOTORS CHENNAI PRIVATE LIMITED","Nexa","B0940839758","Customer stated that during the vehicle service they informed the staff about poor mileage and a noise issue along with a battery problem but the service center failed to resolve these concerns customer is highly irritated and dissatisfied because these issues are pending from the last two years without any resolution and the workshop team is taking too much time now as the vehicle is out of warranty so the query has been raised and forwarded to the team who will revert and coordinate with the customer as soon as possible.","2026-06-22 16:12:20.523912","81114048@maruticrm.onmicrosoft.com","2026-06-22 16:12:20.523912","81114048@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"EAST 1","12288 - CWA","ONE AUTO PVT. LTD.","Arena","B3428556591","The customer needed some information regarding the car's warranty and mentioned that the showroom staff are not answering the phone. The concern has been raised, and the number has been provided to them.","2026-06-22 16:10:15.197127","81122552@maruticrm.onmicrosoft.com","2026-06-22 16:10:15.197127","81122552@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 1","16177 - LBZ","MEENAKSHI AUTO ZONE PVT. LTD.","Arena","B2819581124","The customer reported that they booked the vehicle on May 22nd and were promised a delivery date of June 18th; however, the dealer failed to deliver the car on time. When the customer followed up, the dealer informed them that the delivery has been postponed to the 20th of next month, which is July 20th. The customer is highly dissatisfied with this extended delay and requires an immediate resolution,","2026-06-22 16:09:05.69308","1154837@maruticrm.onmicrosoft.com","2026-06-22 16:09:05.69308","1154837@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"NORTH 2","10188 - GBS","JAMKASH VEHICLEADES PVT. LTD","Arena","B2569098813","customer want to nearest service center details share Dealer contact details.
","2026-06-22 16:08:18.306442","1154197@maruticrm.onmicrosoft.com","2026-06-22 16:08:18.306442","1154197@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 1","50327 - PRV","RANA MOTORS PVT LTD","True Value","B7305871605","Customer Concern VOC-- Customer says I surrendered my car DL8CBC1359 to Rana Motors Janakpuri on 11/12 May 2025 as part exchange for a new Victoris LXI. 

The vehicle has not been transferred to the new owner yet. My GPS app shows it is being used daily. This is a serious liability concern.

Your staff informed me that ""transfers take 180 days"". This is unacceptable. As per RTO rules, the seller remains legally liable until RC transfer is complete.

Please confirm:
1. Why the transfer is delayed despite immediate sale of the vehicle?

2. Who assumes liability for any incident involving DL8CBC1359 from 12 May 2025 onward?

3. Status of my refund of approx. Rs 3000, pending OTP for transfer.

I request written confirmation that Maruti Suzuki Rana Motors Janakpuri takes full responsibility for the vehicle until RC transfer is complete in RTO records. Kindly resolve this within 48 hours. Thank you for your response. I’d appreciate it if you could review my previous email in full, as the concerns remain unaddressed.

To clarify again: If the vehicle has already been sold, please confirm why the RC transfer would still take approximately 150 days.

Kindly address these 3 points specifically:
1. Reason for delay in RC transfer despite the car being sold in June 2026
2. Confirmation of who bears legal liability for DL8CBC1359 from June 2026 until transfer completion
3. Update on my pending refund of approx. Rs 3000 linked to the transfer OTP

I need written confirmation from Maruti Suzuki Rana Motors Janakpuri accepting full responsibility for the vehicle until the RC is officially transferred in RTO records. Request you to resolve and respond within 48 hours. Vehicle was surrendered at Rana Motors, Janakpuri on 11/12 May 2026. No handover docket or receipt was issued at the time.

The only paperwork provided was related to the exchange bonus.

This lack of acknowledgement is concerning given the pending RC transfer. Request you to issue the official surrender receipt immediately. ==============================================Synopsis of VOC-- The customer is escalating a serious liability concern regarding their car (Registration No: DL8CBC1359), which was surrendered to Rana Motors, Janakpuri, on May 11/12, 2026, as a part-exchange for a new Victoria LXI without receiving a proper handover docket or surrender receipt. Despite being sold, the vehicle has not been officially transferred in RTO records and GPS tracking shows it is being driven daily, exposing the customer to severe legal risks. The dealership staff claimed that registration certificate (RC) transfers take up to 180 days, which the customer rejects as unacceptable under RTO regulations. Consequently, the customer demands a response within 48 hours to issue an immediate official surrender receipt, process a pending Rs. 3,000 refund tied to a transfer OTP, and provide explicit written confirmation that Rana Motors assumes full legal liability for the vehicle until the RC transfer is officially complete. Kindly look into this matter as earlier.","2026-06-22 16:05:22.339665","81111275@maruticrm.onmicrosoft.com","2026-06-22 16:05:22.339665","81111275@maruticrm.onmicrosoft.com","OPEN","Query-True Value","OPEN","1",NULL,NULL
"CENTRAL 2","13925 - DAV","AUTO NATION (A UNIT OF TAYAL INDIA MOTORS PVT. LTD)","Arena","B1134850935","CUSTOMER WANTS BOOKED A SERVICES SO I SHARE THE CONTACT DETAILS .  AUTO NATION (A UNIT OF TAYAL INDIA MOTORS PVT. LTD)  (A UNIT OF TAYAL INDIA MOTORS P.LTD), 15/3, MATHURA ROAD,NEAR SECTOR-28, METRO STATION,. PIN: 121003","2026-06-22 16:04:23.678575","1153949@maruticrm.onmicrosoft.com","2026-06-22 16:04:23.678575","1153949@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 2","15793 - PKU","RELIABLE INDUSTRIES","Nexa","B6636794205","The customer is on the line and states that he brought their vehicle to the authorized service center due to multiple critical issues. The car is emitting a significant amount of thick black smoke, and the engine coolant has completely depleted. The customer is highly concerned and wants to know why a brand-new vehicle that has only driven 6,000 kilometers is experiencing such severe engine failures. he request an urgent technical explanation and resolution need solution asap","2026-06-22 16:02:58.959169","1170278@maruticrm.onmicrosoft.com","2026-06-22 16:02:58.959169","1170278@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 1","16072 - SP2","TANYA AUTOMOBILES PVT LTD","Arena","B7261954737","Customer contacted us regarding an unauthorized update to their contact number by the workshop. They stated that they never requested any such change and did not provide permission for their number to be modified. The customer is extremely concerned and distressed by this unexpected update to their personal details. The queries have been raised directly with the workshop team who will coordinate with the customer directly to arrange a solution on priority.","2026-06-22 16:02:56.811357","81114048@maruticrm.onmicrosoft.com","2026-06-22 16:02:56.811357","81114048@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 2","15033 - JQL","DRUK AUTO ZONE","Arena","B1861503152","customer called and wanted to know about the remote for the central lock remote as customer said he has not been provided customer said he is being charged for the remote ","2026-06-22 16:00:15.186738","1154837@maruticrm.onmicrosoft.com","2026-06-22 16:00:15.186738","1154837@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"NORTH 4","12629 - ROT","JAGMOHAN MOTORS PVT LTD","Nexa","B0098394645","The customer called to express their dissatisfaction because they gave their car for service today, but after receiving it back, they noticed that the washing was not done properly by the workshop. They stated that the washing quality was very poor and the vehicle was not cleaned correctly. They want this complaint to be registered and addressed immediately by the team. so CCM no shared to the customer for the further assistance ","2026-06-22 15:59:31.368629","81114047@maruticrm.onmicrosoft.com","2026-06-22 15:59:31.368629","81114047@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 1","14898 - XVB","CRESCO (A UNIT OF NEXGEN VENTURES PVT LTD)","Arena","B4487306909","The customer wants to get their car serviced and wishes to drop off their vehicle at the workshop tomorrow morning at 9:00 AM. If possible from the workshop's side, please contact them and assist them.","2026-06-22 15:55:28.97598","81122552@maruticrm.onmicrosoft.com","2026-06-22 15:55:28.97598","81122552@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 2","16085 - PWM","KASHMIR AUTOMOBILES","Arena","B2231652310","Customer vehicle met with an accident and needs repair work so the concern has been registered and forwarded from here and our team will revert as soon as possible to assist the customer with the issue.","2026-06-22 15:54:20.292754","81114048@maruticrm.onmicrosoft.com","2026-06-22 15:54:20.292754","81114048@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 1","12651 - MUD","ASIR AUTOMOBILES PVT LTD","Nexa","B1834863972","Address of the Dealer: 176, MAIN ROAD,, KAMARAJAR SALAI, MADURAI,, TAMILNADU. PIN: 625009 ,
Last Visited Dealer: ASIR AUTOMOBILES PVT LTD ,
Date of Visit: 25/05/2026 ,
Car Booking Date: 25/05/2026 ,
Car Booking Number/Id: Not Given,
Car Owner Name: MAHALINGAM ,
Issue Description: Customer booked car on 25/05/2026 and customer cancels the booking on 16/06/2026 , Customer Spoken with GM already for refund related , 1,55,000 customer paid to showroom ,still refund not initiated ,customer looking for resolution. as per customer VOC amount and date mentioned and FCR pitched ,customer satisfied with fcr, customer want resolution asap. hence query raised.
","2026-06-22 15:49:14.574073","81113790@maruticrm.onmicrosoft.com","2026-06-22 15:49:14.574073","81113790@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"WEST 3","11652 - KCR","KATARIA AUTOMOBILES PVT. LTD.","Arena","B1791800338","Car Owner Name:  PADMARAM HARILAL SUTHAR
Car Registration Number:  GJ15CG5793
Last Visited Workshop:  KATARIA AUTOMOBILES PVT. LTD.     
Address of the Workshop:  116 TO 121 DARMILL COMPOUND, OPP. SURAT JILLA SUNG, N.H. - 8, KIM CROSS ROAD,SURAT. PIN: 394110
Date of Visit:  30/03/2026
Customer contacted-CCM/WM/GM-Name & contact no : -   Not Given
Issue Description:  Customer vehicle met with a major accident and was given to the workshop for insurance repair work but after delivery the customer is facing multiple problems because the team did not do the job properly and the customer is totally dissatisfied with the work so a concern has been raised and released to the workshop team who will revert and coordinate with the customer as soon as possible to resolve the issue, Additionally i have shared CCM number for direct coordination.","2026-06-22 15:47:47.143416","81114048@maruticrm.onmicrosoft.com","2026-06-22 15:47:47.143416","81114048@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 2","15104 - BG4","AUTOEDGE TRADERS PVT LTD","Arena","B7140893202","The customer states that their car is experiencing issues; the battery is not holding a backup, and three of the tyres are already worn out. he find this highly concerning since he purchased the car just one month ago. The customer suspects that third-class, low-quality parts, batteries, and tyres were installed in their vehicle, and he demand that these be replaced with high-quality components immediately need solution asap 
","2026-06-22 15:42:47.948956","1170278@maruticrm.onmicrosoft.com","2026-06-22 15:42:47.948956","1170278@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","15280 - VBY","FAIR DEAL PREMIUM WHEELS PVT. LTD.","Arena","B1087486770","The customer called to report that the dealer initially demanded ₹17,000 to install the panic button in their vehicle, which was later negotiated down to ₹14,500 after the customer raised a concern. However, the dealer has failed to update the fitment details with the RTO. When the customer contacted the RTO team using the provided number, they were asked to pay an additional ₹1,500 for the update. Furthermore, the dealer is now refusing to assist, stating that they do not install panic buttons in older vehicles, and is directing the customer to get it done from the original dealership where the vehicle was purchased. The customer is highly concerned about this refusal and demands an immediate resolution gm number shared","2026-06-22 15:41:41.734477","1154837@maruticrm.onmicrosoft.com","2026-06-22 15:41:41.734477","1154837@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"EAST 1","16793 - POB","RUKMANI MOTORS PVT LTD","Arena","B5658824636","The customer called to report that their car was not serviced properly at the workshop. They stated that the cleaning and vehicle washing were not done right, and the car is still dirty after the service. They are very unhappy with the quality of the cleaning work and want this issue addressed immediately.","2026-06-22 15:41:10.878525","81114047@maruticrm.onmicrosoft.com","2026-06-22 15:41:10.878525","81114047@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","14789 - GRH","ARBIT AUTOMOBILES PVT LTD","Arena","B3911558841","name - Jai Prakash Yadav
car reg - UP52BR3951
Date of visit - 06/01/2026
dealer -  ARBIT AUTOMOBILES PVT LTD
Add - PLOT NO. 350 NEAR SPORTS COLLEGE, GORAKHPUR 273001
VOC -  The customer has a WagonR car. The customer had visited the ARBIT AUTOMOBILES PVT LTD. Regarding that, after the service, the customer checked and noticed a sound coming from the front driver-side wheel when they drive. The workshop is not providing any resolution or response regarding this issue. customer want resolution as soon as possible. 

","2026-06-22 15:41:00.091253","1154197@maruticrm.onmicrosoft.com","2026-06-22 15:41:00.091253","1154197@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 1","12834 - SVK","MEENAKSHI AUTO ZONE PVT LTD","Arena","B4110403553","date of booking - 12-06-2026
Booking amount - 10,000
The customer has booked an Alto K10 car, for which they paid a booking amount of 10,000. The customer came to know the waiting period for their vehicle, so they were informed of a 4-week waiting period. Therefore, the customer was requested to wait a little, and they were assured that their car would be delivered as soon as possible.","2026-06-22 15:40:51.346533","1154197@maruticrm.onmicrosoft.com","2026-06-22 15:40:51.346533","1154197@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"SOUTH 1","11674 - STM","AADHI CARS PVT. LTD.","Arena","B0648449863","The customer had booked a car and was told that they would receive it within 12 working days. As per the knowledge bank, no specific date or timeframe is mentioned regarding delayed delivery timelines. Therefore, I have provided the senior officer's contact number to the customer. Please connect and speak with them once in the morning.  AADHI CARS PVT. LTD.  176/2, SATHYAMANGALAM ROAD, COIMBATORE. PIN: 641035 ","2026-06-22 15:38:57.611429","1153949@maruticrm.onmicrosoft.com","2026-06-22 15:38:57.611429","1153949@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"NORTH 2","13200 - PTO","PATHANKOT VEHICLEADES PVT. LTD.","Nexa","B8576563425","The customer has still not been delivered the car even though many days have passed, and their concern is being raised regarding this. They booked the car in May, but there is no response yet. No one, including the general manager, is listening to them or providing proper help. They are asking why they were assured of availability if the car was not to be delivered. Please help them as soon as possible.","2026-06-22 15:35:26.651992","81122552@maruticrm.onmicrosoft.com","2026-06-22 15:35:26.651992","81122552@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
